epoch_time;nat_demand;Holiday_ID;holiday;school
1420264800;970.35;0;0;0
1420268400;912.18;0;0;0
1420272000;900.27;0;0;0
1420275600;889.95;0;0;0
1420279200;893.69;0;0;0
1420282800;879.23;0;0;0
1420286400;932.49;0;0;0
1420290000;1048.97;0;0;0
1420293600;1167.91;0;0;0
1420297200;1257.51;0;0;0
1420300800;1254.58;0;0;0
1420304400;1216.90;0;0;0
1420308000;1202.16;0;0;0
1420311600;1197.26;0;0;0
1420315200;1169.00;0;0;0
1420318800;1136.71;0;0;0
1420322400;1101.94;0;0;0
1420326000;1107.04;0;0;0
1420329600;1142.15;0;0;0
1420333200;1097.23;0;0;0
1420336800;1074.65;0;0;0
1420340400;1041.32;0;0;0
1420344000;999.63;0;0;0
1420347600;968.05;0;0;0
1420351200;944.06;0;0;0
1420354800;928.72;0;0;0
1420358400;909.56;0;0;0
1420362000;894.65;0;0;0
1420365600;884.67;0;0;0
1420369200;862.99;0;0;0
1420372800;871.69;0;0;0
1420376400;912.50;0;0;0
1420380000;969.80;0;0;0
1420383600;1019.31;0;0;0
1420387200;1059.75;0;0;0
1420390800;1069.79;0;0;0
1420394400;1087.29;0;0;0
1420398000;1087.17;0;0;0
1420401600;1075.38;0;0;0
1420405200;1056.41;0;0;0
1420408800;1033.72;0;0;0
1420412400;1101.54;0;0;0
1420416000;1137.18;0;0;0
1420419600;1133.21;0;0;0
1420423200;1102.37;0;0;0
1420426800;1072.58;0;0;0
1420430400;1012.60;0;0;0
1420434000;958.62;0;0;0
1420437600;928.53;0;0;0
1420441200;901.54;0;0;0
1420444800;887.78;0;0;0
1420448400;881.00;0;0;0
1420452000;885.42;0;0;0
1420455600;902.09;0;0;0
1420459200;1037.16;0;0;0
1420462800;1191.91;0;0;0
1420466400;1319.82;0;0;0
1420470000;1383.07;0;0;0
1420473600;1415.18;0;0;0
1420477200;1398.87;0;0;0
1420480800;1430.55;0;0;0
1420484400;1413.99;0;0;0
1420488000;1378.75;0;0;0
1420491600;1292.26;0;0;0
1420495200;1178.10;0;0;0
1420498800;1188.01;0;0;0
1420502400;1207.76;0;0;0
1420506000;1156.66;0;0;0
1420509600;1114.20;0;0;0
1420513200;1066.76;0;0;0
1420516800;1002.36;0;0;0
1420520400;931.54;0;0;0
1420524000;914.69;0;0;0
1420527600;890.84;0;0;0
1420531200;869.04;0;0;0
1420534800;852.48;0;0;0
1420538400;891.26;0;0;0
1420542000;895.66;0;0;0
1420545600;1006.30;0;0;0
1420549200;1183.99;0;0;0
1420552800;1311.94;0;0;0
1420556400;1384.24;0;0;0
1420560000;1401.92;0;0;0
1420563600;1415.64;0;0;0
1420567200;1437.47;0;0;0
1420570800;1430.05;0;0;0
1420574400;1383.45;0;0;0
1420578000;1325.21;0;0;0
1420581600;1166.98;0;0;0
1420585200;1163.09;0;0;0
1420588800;1197.16;0;0;0
1420592400;1155.74;0;0;0
1420596000;1116.54;0;0;0
1420599600;1086.21;0;0;0
1420603200;1030.03;0;0;0
1420606800;979.67;0;0;0
1420610400;940.46;0;0;0
1420614000;908.59;0;0;0
1420617600;886.47;0;0;0
1420621200;876.43;0;0;0
1420624800;892.41;0;0;0
1420628400;907.92;0;0;0
1420632000;1010.54;0;0;0
1420635600;1164.66;0;0;0
1420639200;1293.94;0;0;0
1420642800;1366.67;0;0;0
1420646400;1390.92;0;0;0
1420650000;1383.58;0;0;0
1420653600;1407.74;0;0;0
1420657200;1408.68;0;0;0
1420660800;1362.40;0;0;0
1420664400;1286.81;0;0;0
1420668000;1179.94;0;0;0
1420671600;1182.77;0;0;0
1420675200;1206.25;0;0;0
1420678800;1143.26;0;0;0
1420682400;1138.63;0;0;0
1420686000;1095.45;0;0;0
1420689600;1044.17;0;0;0
1420693200;985.89;0;0;0
1420696800;962.41;0;0;0
1420700400;928.10;0;0;0
1420704000;918.00;0;0;0
1420707600;910.95;0;0;0
1420711200;928.72;0;0;0
1420714800;931.43;0;0;0
1420718400;1033.74;0;0;0
1420722000;1186.50;0;0;0
1420725600;1275.11;0;0;0
1420729200;1348.95;0;0;0
1420732800;1365.63;0;0;0
1420736400;1343.47;0;0;0
1420740000;1371.60;0;0;0
1420743600;1383.99;0;0;0
1420747200;1333.55;0;0;0
1420750800;1255.57;0;0;0
1420754400;1142.01;0;0;0
1420758000;1188.58;0;0;0
1420761600;1172.13;0;0;0
1420765200;1136.72;0;0;0
1420768800;1111.77;0;0;0
1420772400;1069.29;0;0;0
1420776000;1017.96;0;0;0
1420779600;977.27;2;1;0
1420783200;943.61;2;1;0
1420786800;917.06;2;1;0
1420790400;895.91;2;1;0
1420794000;885.27;2;1;0
1420797600;884.81;2;1;0
1420801200;866.56;2;1;0
1420804800;883.02;2;1;0
1420808400;953.57;2;1;0
1420812000;1006.97;2;1;0
1420815600;1058.02;2;1;0
1420819200;1088.04;2;1;0
1420822800;1080.85;2;1;0
1420826400;1073.43;2;1;0
1420830000;1075.03;2;1;0
1420833600;1059.62;2;1;0
1420837200;1026.16;2;1;0
1420840800;997.40;2;1;0
1420844400;1054.81;2;1;0
1420848000;1105.86;2;1;0
1420851600;1085.79;2;1;0
1420855200;1061.31;2;1;0
1420858800;1033.86;2;1;0
1420862400;989.85;2;1;0
1420866000;949.50;0;0;0
1420869600;906.96;0;0;0
1420873200;863.51;0;0;0
1420876800;848.44;0;0;0
1420880400;839.88;0;0;0
1420884000;847.11;0;0;0
1420887600;848.47;0;0;0
1420891200;897.82;0;0;0
1420894800;1021.67;0;0;0
1420898400;1108.94;0;0;0
1420902000;1165.48;0;0;0
1420905600;1179.06;0;0;0
1420909200;1173.09;0;0;0
1420912800;1161.41;0;0;0
1420916400;1133.31;0;0;0
1420920000;1100.61;0;0;0
1420923600;1082.69;0;0;0
1420927200;1051.41;0;0;0
1420930800;1088.87;0;0;0
1420934400;1144.27;0;0;0
1420938000;1102.25;0;0;0
1420941600;1064.15;0;0;0
1420945200;1030.46;0;0;0
1420948800;979.59;0;0;0
1420952400;956.58;0;0;0
1420956000;924.28;0;0;0
1420959600;887.46;0;0;0
1420963200;858.96;0;0;0
1420966800;847.49;0;0;0
1420970400;842.75;0;0;0
1420974000;807.42;0;0;0
1420977600;813.18;0;0;0
1420981200;873.80;0;0;0
1420984800;935.32;0;0;0
