date,hour,load
1/9/2010,21,746.22
1/9/2010,22,732.57
1/9/2010,23,699.23
1/9/2010,24,670.48
1/10/2010,1,639.96
1/10/2010,2,618.19
1/10/2010,3,604.77
1/10/2010,4,597.56
1/10/2010,5,595.63
1/10/2010,6,589.37
1/10/2010,7,565.8
1/10/2010,8,596.35
1/10/2010,9,633.91
1/10/2010,10,664.97
1/10/2010,11,697.75
1/10/2010,12,710.14
1/10/2010,13,723.49
1/10/2010,14,720.07
1/10/2010,15,712.75
1/10/2010,16,696.79
1/10/2010,17,678.24
1/10/2010,18,688.12
1/10/2010,19,776.05
1/10/2010,20,772.38
1/10/2010,21,762.03
1/10/2010,22,737.05
1/10/2010,23,706.85
1/10/2010,24,662.74
1/11/2010,1,633.6
1/11/2010,2,614.19
1/11/2010,3,602.48
1/11/2010,4,593.14
1/11/2010,5,601.94
1/11/2010,6,626.82
1/11/2010,7,648.66
1/11/2010,8,811.91
1/11/2010,9,941.89
1/11/2010,10,1018.15
1/11/2010,11,1059.69
1/11/2010,12,1064.83
1/11/2010,13,1064.56
1/11/2010,14,1075.29
1/11/2010,15,1065.77
1/11/2010,16,1007.9
1/11/2010,17,938.53
1/11/2010,18,846.09
1/11/2010,19,894.33
1/11/2010,20,861.81
1/11/2010,21,822.94
1/11/2010,22,777.84
1/11/2010,23,728.01
1/11/2010,24,685.98
1/12/2010,1,644.24
1/12/2010,2,619.55
1/12/2010,3,603.54
1/12/2010,4,597.72
1/12/2010,5,606.02
1/12/2010,6,624.96
1/12/2010,7,653.31
1/12/2010,8,801.76
1/12/2010,9,929.64
1/12/2010,10,1007.68
1/12/2010,11,1055.55
1/12/2010,12,1059.28
1/12/2010,13,1057.66
1/12/2010,14,1073.75
1/12/2010,15,1053.89
1/12/2010,16,1005.84
1/12/2010,17,933.73
1/12/2010,18,847.14
1/12/2010,19,905.71
1/12/2010,20,865.57
1/12/2010,21,825.4
1/12/2010,22,786.24
1/12/2010,23,734.8
1/12/2010,24,696.78
1/13/2010,1,663.94
1/13/2010,2,632.89
1/13/2010,3,620.13
1/13/2010,4,610.52
1/13/2010,5,610.7
1/13/2010,6,639.33
1/13/2010,7,654.67
1/13/2010,8,805.96
1/13/2010,9,944.51
1/13/2010,10,1025.63
1/13/2010,11,1052.79
1/13/2010,12,1076.83
1/13/2010,13,1060.55
1/13/2010,14,1075.35
1/13/2010,15,1061.89
1/13/2010,16,1019.56
1/13/2010,17,940.08
1/13/2010,18,850.22
1/13/2010,19,905.15
1/13/2010,20,871.49
1/13/2010,21,836.55
1/13/2010,22,788.34
1/13/2010,23,743.81
1/13/2010,24,696.39
1/14/2010,1,675.3
1/14/2010,2,634.65
1/14/2010,3,620.96
1/14/2010,4,614.22
1/14/2010,5,616.76
1/14/2010,6,641.22
1/14/2010,7,658.67
1/14/2010,8,815.34
1/14/2010,9,949.66
1/14/2010,10,1034.26
1/14/2010,11,1075.43
1/14/2010,12,1076.44
1/14/2010,13,1078.7
1/14/2010,14,1093.84
1/14/2010,15,1086.31
1/14/2010,16,1036.68
1/14/2010,17,966.48
1/14/2010,18,870.55
1/14/2010,19,920.74
1/14/2010,20,886.69
1/14/2010,21,852.1
1/14/2010,22,811.15
1/14/2010,23,766.58
1/14/2010,24,721.11
1/15/2010,1,679.53
1/15/2010,2,654.62
1/15/2010,3,636.58
1/15/2010,4,624.18
1/15/2010,5,630.46
1/15/2010,6,646.07
1/15/2010,7,660.89
1/15/2010,8,810.74
1/15/2010,9,954.84
1/15/2010,10,1032.01
1/15/2010,11,1069.9
1/15/2010,12,1081.95
1/15/2010,13,1065.98
1/15/2010,14,1093.24
1/15/2010,15,1075.5
1/15/2010,16,1033.83
1/15/2010,17,940.23
1/15/2010,18,861.37
1/15/2010,19,922.15
1/15/2010,20,890.36
1/15/2010,21,847.81
1/15/2010,22,815.95
1/15/2010,23,763.7
1/15/2010,24,720.8
1/16/2010,1,684.54
1/16/2010,2,659.86
1/16/2010,3,642.13
1/16/2010,4,635.45
1/16/2010,5,626.95
1/16/2010,6,635.07
1/16/2010,7,628.95
1/16/2010,8,715.42
1/16/2010,9,827.35
1/16/2010,10,901.73
1/16/2010,11,945.31
1/16/2010,12,933.47
1/16/2010,13,906.71
1/16/2010,14,888.93
1/16/2010,15,868.95
1/16/2010,16,848.07
1/16/2010,17,816.83
1/16/2010,18,791
1/16/2010,19,866.65
1/16/2010,20,858.87
1/16/2010,21,823.06
1/16/2010,22,783.78
1/16/2010,23,744.77
1/16/2010,24,704.36
1/17/2010,1,672.91
1/17/2010,2,651.38
1/17/2010,3,633.09
1/17/2010,4,621.24
1/17/2010,5,617.09
1/17/2010,6,613.98
1/17/2010,7,587.81
1/17/2010,8,614.25
1/17/2010,9,649.39
1/17/2010,10,697.66
1/17/2010,11,738.46
1/17/2010,12,758.14
1/17/2010,13,768.21
1/17/2010,14,766.39
1/17/2010,15,731.68
1/17/2010,16,741.53
1/17/2010,17,728.13
1/17/2010,18,716.38
1/17/2010,19,800.57
1/17/2010,20,798.39
1/17/2010,21,782.78
1/17/2010,22,757.8
1/17/2010,23,723.87
1/17/2010,24,687.57
1/18/2010,1,655.81
1/18/2010,2,624.39
1/18/2010,3,619.74
1/18/2010,4,611.59
1/18/2010,5,623.76
1/18/2010,6,636.26
1/18/2010,7,659.95
1/18/2010,8,815.34
1/18/2010,9,966.14
1/18/2010,10,1046.32
1/18/2010,11,1076.78
1/18/2010,12,1089.46
1/18/2010,13,1083.22
1/18/2010,14,1095.44
1/18/2010,15,1096.83
1/18/2010,16,1045.42
1/18/2010,17,967.11
1/18/2010,18,873.93
1/18/2010,19,932.97
1/18/2010,20,902.63
1/18/2010,21,850.45
1/18/2010,22,808.97
